#Label,Size,Colour,x,y,Level0,Level1
MRO,48,0,,,S&P 500,Energy
MS,295,0,,,S&P 500,Financial Services
MSCI,55,1,,,S&P 500,Financial Services
MSFT,3357,1,,,S&P 500,Technology
MSI,82,1,,,S&P 500,Technology
MTB,88,0,,,S&P 500,Financial Services
MTD,61,0,,,S&P 500,Healthcare
MU,151,0,,,S&P 500,Technology
MYL,62,0,,,S&P 500,Healthcare
NBL,38,0,,,S&P 500,Energy
NCLH,40,0,,,S&P 500,Consumer Cyclical
NDAQ,58,1,,,S&P 500,Financial Services
NEE,373,1,,,S&P 500,Utilities
NEM,85,0,,,S&P 500,Basic Materials
NFLX,473,1,,,S&P 500,Consumer Cyclical
NFX,12,0,,,S&P 500,Energy
NI,43,1,,,S&P 500,Utilities
NKE,502,1,,,S&P 500,Consumer Cyclical
NKTR,24,0,,,S&P 500,Healthcare
NLSN,36,0,,,S&P 500,Industrials
NOC,182,0,,,S&P 500,Industrials
NOV,43,0,,,S&P 500,Energy
NRG,48,1,,,S&P 500,Utilities
NSC,176,1,,,S&P 500,Industrials
NTAP,64,1,,,S&P 500,Technology
NTRS,79,0,,,S&P 500,Financial Services
NUE,72,0,,,S&P 500,Basic Materials
NVDA,360,0,,,S&P 500,Technology
NWL,38,0,,,S&P 500,Consumer Defensive
NWS,30,0,,,S&P 500,Consumer Cyclical
NWSA,29,0,,,S&P 500,Consumer Cyclical
O,82,1,,,S&P 500,Real Estate
OKE,97,1,,,S&P 500,Energy
OMC,71,0,,,S&P 500,Consumer Cyclical
ORCL,711,0,,,S&P 500,Technology
ORLY,121,1,,,S&P 500,Consumer Cyclical
OXY,200,0,,,S&P 500,Energy
PAYX,102,0,,,S&P 500,Industrials
PBCT,24,0,,,S&P 500,Financial Services
PCAR,87,0,,,S&P 500,Industrials
PCG,55,0,,,S&P 500,Utilities
PEG,117,1,,,S&P 500,Utilities
PEP,695,0,,,S&P 500,Consumer Defensive
PFE,1089,1,,,S&P 500,Healthcare
PFG,54,0,,,S&P 500,Financial Services
PG,1011,1,,,S&P 500,Consumer Defensive
PGR,154,1,,,S&P 500,Financial Services
PH,86,0,,,S&P 500,Industrials
PHM,32,0,,,S&P 500,Consumer Cyclical
PKG,34,0,,,S&P 500,Consumer Cyclical
PKI,37,1,,,S&P 500,Healthcare
PLD,163,0,,,S&P 500,Real Estate
PM,476,0,,,S&P 500,Consumer Defensive
PNC,235,0,,,S&P 500,Financial Services
PNR,28,0,,,S&P 500,Industrials
PNW,44,1,,,S&P 500,Utilities
PPG,106,0,,,S&P 500,Basic Materials
PPL,92,0,,,S&P 500,Utilities
PRGO,23,0,,,S&P 500,Healthcare
PRU,147,0,,,S&P 500,Financial Services
PSA,159,1,,,S&P 500,Real Estate
PSX,168,0,,,S&P 500,Energy
PVH,30,0,,,S&P 500,Consumer Cyclical
PWR,18,0,,,S&P 500,Industrials
PXD,95,0,,,S&P 500,Energy
PYPL,421,1,,,S&P 500,Financial Services
QCOM,302,0,,,S&P 500,Technology
QRVO,32,0,,,S&P 500,Technology
RCL,86,0,,,S&P 500,Consumer Cyclical
RE,38,0,,,S&P 500,Financial Services
REG,43,0,,,S&P 500,Real Estate
REGN,171,0,,,S&P 500,Healthcare
RF,60,0,,,S&P 500,Financial Services
RHI,29,0,,,S&P 500,Industrials
RHT,142,1,,,S&P 500,Technology
RJF,45,0,,,S&P 500,Financial Services
RL,35,0,,,S&P 500,Consumer Cyclical
RMD,68,1,,,S&P 500,Healthcare
ROK,79,0,,,S&P 500,Industrials
ROL,51,1,,,S&P 500,Industrials
ROP,118,1,,,S&P 500,Industrials
ROST,131,0,,,S&P 500,Consumer Cyclical
RSG,104,1,,,S&P 500,Industrials
RTN,193,0,,,S&P 500,Industrials
SBAC,83,1,,,S&P 500,Communication Services
SBUX,349,1,,,S&P 500,Consumer Cyclical
SCG,31,1,,,S&P 500,Utilities
SCHW,239,0,,,S&P 500,Financial Services
SEE,24,0,,,S&P 500,Consumer Cyclical
SHW,158,0,,,S&P 500,Basic Materials
SIVB,44,0,,,S&P 500,Financial Services
SJM,49,0,,,S&P 500,Consumer Defensive
SLB,226,0,,,S&P 500,Energy
SLG,30,0,,,S&P 500,Real Estate
SNA,35,0,,,S&P 500,Industrials
SNPS,55,0,,,S&P 500,Technology
SO,205,0,,,S&P 500,Utilities
SPG,230,1,,,S&P 500,Real Estate
SPGI,185,0,,,S&P 500,Financial Services
SRCL,14,0,,,S&P 500,Industrials
SRE,136,1,,,S&P 500,Utilities
STI,97,0,,,S&P 500,Financial Services
STT,105,0,,,S&P 500,Financial Services
STX,48,0,,,S&P 500,Technology
STZ,138,0,,,S&P 500,Consumer Defensive
SWK,78,0,,,S&P 500,Industrials
SWKS,51,0,,,S&P 500,Technology
SYF,74,0,,,S&P 500,Financial Services
SYK,252,0,,,S&P 500,Healthcare
SYMC,53,0,,,S&P 500,Technology
SYY,144,1,,,S&P 500,Consumer Defensive
T,925,0,,,S&P 500,Communication Services
TAP,41,0,,,S&P 500,Consumer Defensive
TDG,77,1,,,S&P 500,Industrials
TEL,112,0,,,S&P 500,Technology
TGT,149,0,,,S&P 500,Consumer Defensive
